"site_id","datetime","reference_datetime","family","variable","model_id","depth_m","parameter","prediction"
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"1",15.5591716606228
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"2",17.4677602351018
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"3",18.877948135904
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"4",16.136693102635
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"5",15.6849959559002
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"6",11.6551107958579
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"7",16.9325115028613
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"8",15.8900056905575
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"9",14.3185156358521
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"10",16.9670158149449
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"11",13.8621934517449
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"12",15.5611141673063
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"13",14.1877285966593
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"14",14.5308617003927
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"15",17.8713361224132
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"16",14.4734541921498
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"17",16.9775359141461
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"18",15.1200319562315
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"19",13.5395691121204
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"20",9.7707238707698
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"21",19.6517877688479
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"22",16.4269865820318
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"23",7.81709885195433
