"site_id","model_id","datetime","variable","depth_m","observation","prediction"
"bvre","ETS",2020-06-25,"Chla_ugL",1.6,4.19310344827586,3.29551778472402
"bvre","ETS",2020-06-26,"Chla_ugL",1.6,4.61951388888889,4.28378817688973
"bvre","ETS",2020-06-27,"Chla_ugL",1.6,3.41083333333333,4.71028850316208
"bvre","ETS",2020-06-28,"Chla_ugL",1.6,3.62159722222222,3.50164184158934
"bvre","ETS",2020-06-29,"Chla_ugL",1.6,3.94305555555556,3.71227548450057
"bvre","ETS",2020-06-30,"Chla_ugL",1.6,5.06270833333333,4.03374579462651
"bvre","ETS",2020-07-01,"Chla_ugL",1.6,5.24597222222222,5.15342150192268
"bvre","ETS",2020-07-02,"Chla_ugL",1.6,5.54992857142857,5.33678848894022
"bvre","ETS",2020-07-03,"Chla_ugL",1.6,6.04256944444444,5.64075407201304
"bvre","ETS",2020-07-04,"Chla_ugL",1.6,6.53534722222222,6.13341622731356
"bvre","ETS",2020-07-05,"Chla_ugL",1.6,6.56576388888889,6.626234195161
"bvre","ETS",2020-07-06,"Chla_ugL",1.6,7.21875,6.65669115235278
"bvre","ETS",2020-07-07,"Chla_ugL",1.6,7.44604166666667,7.3096710955025
"bvre","ETS",2020-07-08,"Chla_ugL",1.6,7.16104166666667,7.53701906183283
"bvre","ETS",2020-07-09,"Chla_ugL",1.6,7.57930555555556,7.25203280026099
"bvre","ETS",2020-07-10,"Chla_ugL",1.6,7.16930555555556,7.67025894824876
"bvre","ETS",2020-07-11,"Chla_ugL",1.6,4.714375,7.26029184166801
"bvre","ETS",2020-07-12,"Chla_ugL",1.6,4.95402777777778,4.80531157312769
"bvre","ETS",2020-07-13,"Chla_ugL",1.6,4.79680555555556,5.04470918713954
"bvre","ETS",2020-07-14,"Chla_ugL",1.6,4.394375,4.88750191592998
"bvre","ETS",2020-07-15,"Chla_ugL",1.6,4.22180555555556,4.48504661186265
"bvre","ETS",2020-07-16,"Chla_ugL",1.6,4.14027777777778,4.31242780004639
