"site_id","datetime","reference_datetime","family","variable","model_id","depth_m","parameter","prediction"
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"1",14.5957255831489
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"2",14.9747322400069
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"3",15.3293359131197
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"4",14.9475643851852
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"5",13.0897221010204
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"6",14.9769300469382
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"7",20.0789595256511
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"8",16.3531183000258
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"9",19.9020049350656
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"10",18.1140994507317
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"11",15.045148188158
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"12",13.3061227079403
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"13",14.9780938442424
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"14",14.9777694813325
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"15",12.8280312394212
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"16",16.8853415089645
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"17",16.1229701868533
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"18",15.8750824218224
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"19",14.9677677877397
"bvre",2023-09-27,2023-09-27,"ensemble","Chla_ugL","fableETS",1.5,"20",15.3592494531905
