"site_id","datetime","reference_datetime","family","variable","model_id","duration","project_id","depth_m","parameter","prediction"
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"1",8.2564242654268
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"2",10.4133180280317
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"3",10.2956664983628
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"4",10.8663825455345
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"5",8.6583358724985
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"6",11.0298816847044
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"7",8.49850009966909
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"8",10.3903398400542
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"9",9.17010141490578
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"10",9.53080367209869
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"11",9.09013727739374
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"12",7.95451364592503
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"13",7.74919168635543
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"14",8.89754474769197
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"15",8.2612121220719
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"16",9.00015150095197
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"17",7.13504775052863
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"18",7.72522383374028
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"19",9.57527500237397
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"20",8.34261296638572
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"21",8.60080246891963
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"22",8.49576365068368
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"23",8.57083951978419
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"24",8.30928428877337
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"25",8.21189210465891
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"26",9.32428135804562
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"27",9.01736954050989
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"28",8.76802138152323
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"29",8.65572619057028
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"30",9.14453021492257
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"31",9.13169868264414
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"32",9.00529917467744
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"33",8.51256304397658
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"34",8.2612121220719
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"35",9.37418439558293
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"36",7.98165439492805
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"37",9.0995801772832
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"38",8.69446014958105
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"39",9.58612455753793
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"40",10.1030686007503
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"41",8.88818706833798
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"42",8.66247393818401
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"43",10.1933843875543
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"44",7.56086248843256
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"45",8.88794492622238
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"46",7.67636851471878
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"47",8.49850009966909
"bvre",2023-10-12,2023-10-12,"ensemble","Chla_ugL_mean","fableNNETAR","P1D","vera4cast",1.5,"48",8.89441559390968
