"site_id","datetime","reference_datetime","family","variable","model_id","duration","project_id","depth_m","parameter","prediction"
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"1",9.3067260019899
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"2",8.26348987634508
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"3",5.92215607905276
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"4",5.32322501014491
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"5",5.57767690648933
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"6",3.67219913902005
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"7",6.04694502563912
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"8",6.78698092668862
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"9",6.05529308572413
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"10",5.39707610253136
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"11",6.47133689430418
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"12",5.75089471174426
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"13",6.61655507092172
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"14",5.95075582076492
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"15",6.73437043319494
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"16",6.99950630277986
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"17",8.92382557579588
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"18",5.37127414690993
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"19",6.02656751667981
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"20",8.74549825560319
"bvre",2023-10-16,2023-10-16,"ensemble","Chla_ugL_mean","fableARIMA","P1D","vera4cast",1.5,"21",6.04927242591456
